Zip Code,Now married (except separated); Estimate; Population 15 years and over,Divorced; Estimate; Population 15 years and over,Never married; Estimate; Population 15 years and over
ZCTA5 02026,50.1,9.1,31.1
ZCTA5 02030,71,4.7,20.5
ZCTA5 02032,64.9,5.2,23.7
ZCTA5 02035,55.8,8.7,28.4
ZCTA5 02038,58.2,8.1,28.2
ZCTA5 02043,62.8,6.5,21.8
ZCTA5 02045,46,16.3,29.3
ZCTA5 02047,27.7,49.2,23.1
ZCTA5 02048,58.5,8,29
ZCTA5 02050,56.9,8.5,27.9
ZCTA5 02052,68.7,4.6,22.2
ZCTA5 02053,58.9,7.2,26.4
ZCTA5 02054,60,7.7,27.3
ZCTA5 02056,53.6,8,33.4
ZCTA5 02061,64.3,6.8,22.6
ZCTA5 02062,49.7,9.9,31.9
ZCTA5 02066,60.5,7.6,23.2
ZCTA5 02067,67.7,7.1,21.7
ZCTA5 02071,41.7,9.4,45.3
ZCTA5 02072,50.3,10.8,31.2
ZCTA5 02081,59.9,5.1,26.8
ZCTA5 02090,64,6.8,22.3
ZCTA5 02093,56.9,9.1,26.3
ZCTA5 02108,48.8,8.9,40.2
ZCTA5 02109,31.2,7.4,57.1
ZCTA5 02110,44.4,12.2,39.3
ZCTA5 02111,41.1,4.5,48.5
ZCTA5 02113,19.4,5,69.7
ZCTA5 02114,28.4,6.4,61.4
ZCTA5 02115,13.6,3.4,79.3
ZCTA5 02116,37.9,5.5,52.9
ZCTA5 02118,31.3,7.6,54.5
ZCTA5 02119,26.4,11.4,53.8
ZCTA5 02120,14.5,5.1,76
ZCTA5 02121,20.7,11.3,56.5
ZCTA5 02122,31.7,8,52.4
ZCTA5 02124,29.7,9.4,51.6
ZCTA5 02125,29.5,7.7,55.9
ZCTA5 02126,27.9,12.5,52
ZCTA5 02127,27.1,6.6,60.4
ZCTA5 02128,33.9,8.5,49.6
ZCTA5 02129,40.5,9.1,44.1
ZCTA5 02130,34.6,7.5,51
ZCTA5 02131,38.2,10.1,42.1
ZCTA5 02132,51.9,7.7,31
ZCTA5 02134,19.1,3.6,73.3
ZCTA5 02135,28.4,4.5,60.7
ZCTA5 02136,36.7,8.8,43.4
ZCTA5 02138,32.4,5.8,58.4
ZCTA5 02139,27.5,6.1,62.8
ZCTA5 02140,38,8.4,48.1
ZCTA5 02141,33.9,5.3,56.8
ZCTA5 02142,43.4,5.1,49.4
ZCTA5 02143,28.7,5.4,61.9
ZCTA5 02144,30.5,4.9,58.8
ZCTA5 02145,38.3,7.5,48
ZCTA5 02148,47.6,7.7,38.1
ZCTA5 02149,42.3,9.2,40.5
ZCTA5 02150,33.3,8.7,48.3
ZCTA5 02151,40.7,12,37.9
ZCTA5 02152,47.1,11.3,32.1
ZCTA5 02155,41.5,7,44.8
ZCTA5 02163,18.9,1.6,78.9
ZCTA5 02169,45.2,9.2,38.1
ZCTA5 02170,43.9,9.2,41.4
ZCTA5 02171,47.8,6.3,38
ZCTA5 02176,55.5,8.7,29.4
ZCTA5 02180,53.7,9.5,28.5
ZCTA5 02184,50.9,8.6,30.6
ZCTA5 02186,52.7,6.4,33.9
ZCTA5 02188,46.2,10.1,35.4
ZCTA5 02189,41,11.3,39.6
ZCTA5 02190,52.3,9.1,30.3
ZCTA5 02191,50.8,9.7,30.5
ZCTA5 02199,61,4.9,29.7
ZCTA5 02203,0,0,100
ZCTA5 02210,39.3,7.7,48.8
ZCTA5 02215,11.2,2.4,85.3
ZCTA5 02301,35.6,11.6,43.4
ZCTA5 02302,41.9,11.6,39.1
ZCTA5 02322,49,12.2,29.3
ZCTA5 02324,42.5,7.6,44.8
ZCTA5 02330,55.8,10.2,23.8
ZCTA5 02332,63.3,6,23.8
ZCTA5 02333,51.4,9.6,30.2
ZCTA5 02338,57.3,7.6,27.7
ZCTA5 02339,61.3,5.3,25.4
ZCTA5 02341,59.2,9.3,26.6
ZCTA5 02343,54.1,8.1,32.2
ZCTA5 02346,54.2,9.3,29.5
ZCTA5 02347,59.1,9.2,25.9
ZCTA5 02351,52.7,9.1,31.2
ZCTA5 02356,57.7,7.4,28.5
ZCTA5 02357,0.7,0.6,98.2
ZCTA5 02359,56,7,29.3
ZCTA5 02360,54.9,10.5,28.2
ZCTA5 02364,58.2,8.3,27.9
ZCTA5 02366,20,21,53.8
ZCTA5 02367,58,9.3,26.4
ZCTA5 02368,43.4,9.1,37.8
ZCTA5 02370,45.4,11.3,34.5
ZCTA5 02375,52.7,10.4,30.7
ZCTA5 02379,52.6,9.2,29.3
ZCTA5 02382,47.5,10.4,35.1
